UID         PID   PPID  C STIME TTY          TIME CMD
root        574      2  0  2022 ?        00:00:00 [xfs-eofblocks/d]
root        575      2  0  2022 ?        02:13:04 [xfsaild/dm-0]
root        576      2  0  2022 ?        00:00:08 [kworker/7:1H]
root        577      2  0  2022 ?        00:01:41 [kworker/1:1H]
root        633      2  0  2022 ?        00:00:09 [kworker/4:1H]
root        647      1  0  2022 ?        00:05:49 /usr/lib/systemd/systemd-journald
root        668      1  0  2022 ?        00:00:00 /usr/sbin/lvmetad -f
root        677      1  0  2022 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root        884      2  0  2022 ?        00:00:08 [kworker/10:1H]
root        918      2  0  2022 ?        00:00:00 [edac-poller]
root        927      2  0  2022 ?        00:00:00 [xfs-buf/vda1]
root        928      2  0  2022 ?        00:00:00 [xfs-data/vda1]
root        929      2  0  2022 ?        00:00:00 [xfs-conv/vda1]
root        930      2  0  2022 ?        00:00:00 [xfs-cil/vda1]
root        931      2  0  2022 ?        00:00:00 [xfs-reclaim/vda]
root        932      2  0  2022 ?        00:00:00 [xfs-log/vda1]
root        933      2  0  2022 ?        00:00:00 [xfs-eofblocks/v]
root        934      2  0  2022 ?        00:00:00 [xfsaild/vda1]
root        961      1  0  2022 ?        00:00:35 /sbin/auditd
dbus        988      1  0  2022 ?        00:04:46 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
polkitd     989      1  0  2022 ?        00:01:20 /usr/lib/polkit-1/polkitd --no-debug
root        990      1  0  2022 ?        00:20:05 /usr/sbin/rsyslogd -n
root        994      1  0  2022 ?        00:40:22 /usr/sbin/irqbalance --foreground
root        996      1  0  2022 ?        00:02:39 /usr/lib/systemd/systemd-logind
root        997      1  0  2022 ?        00:00:00 /usr/sbin/abrtd -d -s
